code,name,market,type,industry,price,chg,chg_pct,score,A,B,C,D,E,F,S2h,S2m,etf_trust_5d,etf_rank,etf_chip_cnt,etf_vol_ratio,foreign_days,trust_days,broker_days,broker_conc,margin_ratio,short_ratio,big_chg,rsi,trust_d1,trust_d3,trust_d5,broker_names,broker_silent,broker_known,turnover_pct,holding_rising,trust_holding_pct,trust_pullback,volume_ratio,ma_trend,revenue_months,eps_growth,gpm_improving,tags,signal,signal_desc,scan_date
00400A,主動國泰動能高息,上市,STOCK,,0,0,0,21,1,0,0,0,0,1,15,4,0.0,賣超,1,0.0,1,0,0,0,4.0,0.0,0.36,87.5,0,0,0,{},0,0,2.1,1,0.0,0,0.94,0,0,0,0,★籌碼乾淨,NONE,,2026-05-08
00401A,主動摩根台灣鑫收,上市,STOCK,,0,0,0,23,0,0,0,0,0,4,15,4,0.0,賣超,2,0.0,0,0,0,0,1.6,0.0,0.02,83.6,0,0,0,{},0,0,-1.0,1,0.0,0,0.73,0,0,0,0,★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
0050,元大台灣50,上市,STOCK,,0,0,0,47,0,0,0,14,0,14,15,4,11250.0,前10%,2,0.8303,0,0,0,0,0.2,0.0,0.03,77.0,0,1150,11250,{},0,0,-35.2,0,0.08,0,1.25,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
0051,元大中型100,上市,STOCK,,0,0,0,30,0,0,0,10,0,1,15,4,0.0,賣超,1,0.922,0,0,0,0,0.6,0.0,0.01,80.5,0,0,0,{},0,0,-24.6,0,0.0,0,1.31,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
0052,富邦科技,上市,STOCK,,0,0,0,26,0,3,0,14,0,0,5,4,-508.0,賣超,0,0.9693,0,0,0,0,1.5,0.0,-0.05,73.3,-380,-508,-508,{},0,0,-1.8,1,-0.26,0,0.8,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
0053,元大電子,上市,STOCK,,0,0,0,39,0,0,0,14,0,1,15,9,0.0,賣超,1,1.2004,0,0,0,0,0.6,0.0,0.0,73.5,0,0,0,{},0,0,-40.2,0,0.0,0,1.48,2,0,0,0,★大戶接手 ★籌碼乾淨 ★融資退場,NONE,,2026-05-08
0055,元大MSCI金融,上市,STOCK,,0,0,0,41,0,0,0,18,0,4,15,4,0.0,賣超,2,1.2046,0,0,0,0,0.8,0.0,0.0,68.3,0,0,0,{},0,0,-2.4,1,0.0,0,0.84,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
0056,元大高股息,上市,STOCK,,0,0,0,40,8,3,0,14,0,6,5,4,1205.0,前30%,2,1.1627,11,0,0,0,0.1,0.0,-0.08,77.0,0,1030,1205,{},0,0,47.5,1,0.03,0,1.13,2,0,0,0,★籌碼乾淨,NONE,,2026-05-08
0057,富邦摩台,上市,STOCK,,0,0,0,44,0,0,0,14,0,6,15,9,0.0,賣超,1,0.5445,0,0,0,0,0.0,0.0,0.0,76.0,0,0,0,{},0,0,-35.4,0,0.0,0,0.65,2,0,0,0,★籌碼乾淨 ★融資退場,NONE,,2026-05-08
0061,元大寶滬深,上市,STOCK,,0,0,0,42,4,0,0,18,0,1,15,4,0.0,賣超,1,0.93,1,0,0,0,0.5,0.0,0.03,68.5,0,0,0,{},0,0,36.4,0,0.0,0,0.52,2,0,0,0,★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
006201,元大富櫃50,上市,STOCK,,0,0,0,65,1,12,11,18,0,4,15,4,86.0,<前30%,2,1.7744,1,3,5,27,4.7,0.1,4.2,68.1,31,86,86,{},0,1,0.5,0,0.58,1,0.68,2,0,0,0,★投信護盤 ★大戶接手 ★籌碼乾淨,NONE,,2026-05-08
006203,元大MSCI台灣,上市,STOCK,,0,0,0,39,0,0,0,14,0,1,15,9,0.0,賣超,1,1.2664,0,0,0,0,0.0,0.0,0.0,76.6,0,0,0,{},0,0,0.0,0,0.0,0,0.53,2,0,0,0,★大戶接手 ★籌碼乾淨 ★融資退場,NONE,,2026-05-08
006204,永豐臺灣加權,上市,STOCK,,0,0,0,42,0,0,0,14,0,4,15,9,0.0,賣超,2,1.7375,0,0,0,0,0.0,0.0,0.0,77.6,0,0,0,{},0,0,0.0,1,0.0,0,0.66,2,0,0,0,★大戶接手 ★籌碼乾淨 ★融資退場,NONE,,2026-05-08
